### DATA:
#
# 2293
#      Q             I(Q)           Error     
4.06107474E-02  9.35981827E+08  4.75377618E+06
4.09292631E-02  9.31953282E+08  4.85759471E+06
4.12477787E-02  9.06938379E+08  4.67871486E+06
4.15662944E-02  8.87595267E+08  4.69761165E+06
4.18848101E-02  8.73723233E+08  4.70193684E+06
4.22033257E-02  8.44870532E+08  4.54852731E+06
4.25218414E-02  8.32210499E+08  4.60057719E+06
4.28403571E-02  7.96335640E+08  4.35038280E+06
4.31588727E-02  7.81254233E+08  4.43106441E+06
4.34773884E-02  7.64301824E+08  4.35908824E+06
4.37959041E-02  7.36414909E+08  4.22336311E+06
4.41144197E-02  7.28831326E+08  4.30473431E+06
4.44329354E-02  7.01079918E+08  4.15466564E+06
4.47514511E-02  6.86003454E+08  4.14425450E+06
4.50699667E-02  6.66693562E+08  4.09823705E+06
4.53884824E-02  6.48231407E+08  4.04783730E+06
4.57069981E-02  6.30424115E+08  3.98356082E+06
4.60255137E-02  6.15744557E+08  3.91060371E+06
4.63440294E-02  5.98185144E+08  3.91116676E+06
4.66625451E-02  5.78575188E+08  3.86212255E+06
4.69810607E-02  5.57006314E+08  3.71479193E+06
4.72995764E-02  5.40675202E+08  3.76950627E+06
4.76180920E-02  5.24679000E+08  3.63277972E+06
4.79366077E-02  5.12423096E+08  3.69999179E+06
4.82551234E-02  4.94578374E+08  3.60624843E+06
4.85736390E-02  4.85941167E+08  3.51961382E+06
4.88921547E-02  4.71670102E+08  3.53101973E+06
4.92106704E-02  4.56576178E+08  3.42277247E+06
4.95291860E-02  4.45013266E+08  3.49170733E+06
4.98477017E-02  4.31190135E+08  3.30239560E+06
5.01662174E-02  4.12303840E+08  3.32549227E+06
5.04847330E-02  4.12785921E+08  3.35601847E+06
5.08032487E-02  3.98558043E+08  3.27262369E+06
5.11217644E-02  3.87051296E+08  3.20870291E+06
5.14402800E-02  3.74474623E+08  3.12990776E+06
5.17587957E-02  3.58683767E+08  3.17723537E+06
5.20773114E-02  3.46860074E+08  3.12361223E+06
5.23958270E-02  3.35188152E+08  3.03532685E+06
5.27143427E-02  3.25443820E+08  2.99080243E+06
5.30328584E-02  3.22019114E+08  2.96251253E+06
5.33513740E-02  3.16024971E+08  2.97156540E+06
5.36698897E-02  3.07522171E+08  2.96694824E+06
5.39884054E-02  2.95125737E+08  2.85940916E+06
5.43069210E-02  2.86116386E+08  2.86372605E+06
5.46254367E-02  2.74997022E+08  2.79825986E+06
5.49439524E-02  2.74705958E+08  2.82964336E+06
5.52624680E-02  2.60799815E+08  2.73697538E+06
5.55809837E-02  2.59800888E+08  2.69503930E+06
5.58994994E-02  2.48611240E+08  2.72614130E+06
5.62180150E-02  2.47249901E+08  2.67591152E+06
5.65365307E-02  2.42229210E+08  2.67077362E+06
5.68550464E-02  2.35513645E+08  2.59613794E+06
5.71735620E-02  2.30346552E+08  2.62211862E+06
5.74920777E-02  2.28068410E+08  2.57921069E+06
5.78105934E-02  2.22697359E+08  2.54076723E+06
5.81291090E-02  2.18603052E+08  2.56850561E+06
5.84476247E-02  2.16865629E+08  2.47931768E+06
5.87661404E-02  2.15893877E+08  2.52250225E+06
5.90846560E-02  2.05547040E+08  2.49115484E+06
5.94031717E-02  2.02964449E+08  2.46273059E+06
5.97216874E-02  2.07887566E+08  2.44858175E+06
6.00402030E-02  2.03273572E+08  2.41708921E+06
6.03587187E-02  1.93451249E+08  2.41333488E+06
6.06772344E-02  1.95980978E+08  2.41235981E+06
6.09957500E-02  1.95231357E+08  2.36828807E+06
6.13142657E-02  1.91754116E+08  2.38758752E+06
6.16327813E-02  1.86865379E+08  2.31678639E+06
6.19512970E-02  1.89156674E+08  2.35379290E+06
6.22698127E-02  1.87039322E+08  2.32664234E+06
6.25883283E-02  1.84386467E+08  2.31419672E+06
6.29068440E-02  1.82691902E+08  2.31186139E+06
6.32253597E-02  1.84280587E+08  2.29741446E+06
6.35438753E-02  1.81062812E+08  2.30040538E+06
6.38623910E-02  1.79210412E+08  2.24145040E+06
6.41809067E-02  1.78576193E+08  2.26045709E+06
6.44994223E-02  1.78818141E+08  2.26225376E+06
6.48179380E-02  1.73669398E+08  2.21995019E+06
6.51364537E-02  1.75638300E+08  2.26380831E+06
6.54549693E-02  1.75326667E+08  2.16374735E+06
6.57734850E-02  1.74295755E+08  2.25012486E+06
6.60920007E-02  1.70962289E+08  2.20351080E+06
6.64105163E-02  1.75073497E+08  2.19186742E+06
6.67290320E-02  1.68387984E+08  2.17417202E+06
6.70475477E-02  1.73796794E+08  2.16749360E+06
6.73660633E-02  1.76071015E+08  2.19253612E+06
6.76845790E-02  1.72483625E+08  2.20494545E+06
6.80030947E-02  1.68659425E+08  2.12118799E+06
6.83216103E-02  1.69862889E+08  2.14280341E+06
6.86401260E-02  1.69349442E+08  2.12485832E+06
6.89586417E-02  1.68099276E+08  2.12678355E+06
6.92771573E-02  1.68921499E+08  2.13481020E+06
6.95956730E-02  1.65487773E+08  2.09817359E+06
6.99141887E-02  1.65770919E+08  2.12584067E+06
7.02327043E-02  1.65436494E+08  2.07789949E+06
7.05512200E-02  1.68192100E+08  2.09723654E+06
7.08697357E-02  1.65406576E+08  2.07514382E+06
7.11882513E-02  1.64949835E+08  2.10029579E+06
7.15067670E-02  1.63331909E+08  2.07010758E+06
7.18252827E-02  1.60527041E+08  2.06110721E+06
7.21437983E-02  1.60752061E+08  2.06429113E+06
7.24623140E-02  1.59975758E+08  2.01828676E+06
7.27808297E-02  1.56555387E+08  2.03967577E+06
7.30993453E-02  1.55454781E+08  2.02393065E+06
7.34178610E-02  1.57675048E+08  2.02004027E+06
7.37363767E-02  1.56953983E+08  1.99586886E+06
7.40548923E-02  1.53515111E+08  1.97566829E+06
7.43734080E-02  1.54187203E+08  2.00850230E+06
7.46919236E-02  1.51645173E+08  1.98725551E+06
7.50104393E-02  1.53574328E+08  1.96579548E+06
7.53289550E-02  1.53385532E+08  1.98046217E+06
7.56474706E-02  1.50845741E+08  1.95087056E+06
7.59659863E-02  1.49117570E+08  1.98040730E+06
7.62845020E-02  1.48194635E+08  1.93162437E+06
7.66030176E-02  1.49426799E+08  1.91676808E+06
7.69215333E-02  1.45236500E+08  1.92376477E+06
7.72400490E-02  1.45395581E+08  1.91347586E+06
7.75585646E-02  1.39142898E+08  1.91446298E+06
7.78770803E-02  1.42892178E+08  1.86844629E+06
7.81955960E-02  1.37002843E+08  1.89632557E+06
7.85141116E-02  1.32820143E+08  1.87318679E+06
7.88326273E-02  1.34311823E+08  1.83936954E+06
7.91511430E-02  1.34779003E+08  1.85504255E+06
7.94696586E-02  1.32764519E+08  1.82057744E+06
7.97881743E-02  1.29590964E+08  1.84994631E+06
8.01066900E-02  1.28988865E+08  1.82914862E+06
8.04252056E-02  1.23826764E+08  1.80485558E+06
8.07437213E-02  1.23191233E+08  1.78998325E+06
8.10622370E-02  1.23859058E+08  1.77642644E+06
8.13807526E-02  1.19255136E+08  1.78616952E+06
8.16992683E-02  1.18124129E+08  1.77293023E+06
8.20177840E-02  1.14595677E+08  1.73209123E+06
8.23362996E-02  1.16734621E+08  1.76078203E+06
8.26548153E-02  1.14173334E+08  1.73239241E+06
8.29733310E-02  1.13560188E+08  1.75152509E+06
8.32918466E-02  1.12548310E+08  1.72213675E+06
8.36103623E-02  1.05597672E+08  1.70539562E+06
8.39288780E-02  1.06157319E+08  1.69751630E+06
8.42473936E-02  1.03379627E+08  1.68917329E+06
8.45659093E-02  1.01433080E+08  1.69889762E+06
8.48844250E-02  9.93312764E+07  1.64351691E+06
8.52029406E-02  9.97112436E+07  1.65781621E+06
8.55214563E-02  9.66536219E+07  1.65108529E+06
8.58399720E-02  9.64512386E+07  1.62956505E+06
8.61584876E-02  9.20446691E+07  1.63679672E+06
8.64770033E-02  9.13392392E+07  1.60159986E+06
8.67955190E-02  8.38946132E+07  1.60826101E+06
8.71140346E-02  8.64128875E+07  1.59475318E+06
8.74325503E-02  8.48997308E+07  1.58049777E+06
8.77510660E-02  8.15318951E+07  1.57263382E+06
8.80695816E-02  8.01424261E+07  1.53976241E+06
8.83880973E-02  7.93859780E+07  1.56313668E+06
8.87066129E-02  7.42850264E+07  1.54425305E+06
8.90251286E-02  7.13024015E+07  1.51940918E+06
8.93436443E-02  7.12129674E+07  1.51361846E+06
8.96621599E-02  7.18727577E+07  1.49996623E+06
8.99806756E-02  7.12980365E+07  1.51109941E+06
9.02991913E-02  6.60017706E+07  1.48930739E+06
9.06177069E-02  6.48148491E+07  1.47463666E+06
9.09362226E-02  6.31836539E+07  1.47173362E+06
9.12547383E-02  5.91469888E+07  1.46251369E+06
9.15732539E-02  6.03786226E+07  1.44413298E+06
9.18917696E-02  5.94186132E+07  1.42477389E+06
9.22102853E-02  5.68844047E+07  1.43583670E+06
9.25288009E-02  5.21482683E+07  1.42523556E+06
9.28473166E-02  5.37531189E+07  1.41034982E+06
9.31658323E-02  5.10046104E+07  1.39455603E+06
9.34843479E-02  5.04326028E+07  1.37277523E+06
9.38028636E-02  5.01143636E+07  1.39525098E+06
9.41213793E-02  4.90394835E+07  1.37797008E+06
9.44398949E-02  4.58025009E+07  1.36597307E+06
9.47584106E-02  4.29442108E+07  1.34948724E+06
9.50769263E-02  4.48099279E+07  1.33766030E+06
9.53954419E-02  4.41511902E+07  1.36459000E+06
9.57139576E-02  4.21531616E+07  1.33983412E+06
9.60324733E-02  4.03077051E+07  1.31471721E+06
9.63509889E-02  4.10241921E+07  1.32422973E+06
9.66695046E-02  3.95160377E+07  1.31550485E+06
9.69880203E-02  3.50498356E+07  1.29818602E+06
9.73065359E-02  3.46406173E+07  1.29428388E+06
9.76250516E-02  3.23137075E+07  1.27919716E+06
9.79435673E-02  3.46107383E+07  1.28978013E+06
9.82620829E-02  3.26109908E+07  1.27106519E+06
9.85805986E-02  3.11223147E+07  1.26741826E+06
9.88991143E-02  3.02377077E+07  1.25996449E+06
9.92176299E-02  3.06790262E+07  1.26228661E+06
9.95361456E-02  2.81418144E+07  1.25801374E+06
9.98546613E-02  2.70748818E+07  1.22873392E+06
1.00173177E-01  2.49787374E+07  1.21803647E+06
1.00491693E-01  2.65016768E+07  1.23311176E+06
1.00810208E-01  2.83004897E+07  1.22864555E+06
1.01128724E-01  2.43264312E+07  1.23230686E+06
1.01447240E-01  2.33730659E+07  1.21323795E+06
1.01765755E-01  2.67946144E+07  1.20685546E+06
1.02084271E-01  2.27026432E+07  1.18669797E+06
1.02402787E-01  2.03524406E+07  1.20072285E+06
1.02721302E-01  2.12617600E+07  1.19569921E+06
1.03039818E-01  2.00814534E+07  1.17615074E+06
1.03358334E-01  2.13452647E+07  1.18850269E+06
1.03676849E-01  2.02641749E+07  1.16595944E+06
1.03995365E-01  2.12445028E+07  1.19155412E+06
1.04313881E-01  1.96802312E+07  1.16244051E+06
1.04632396E-01  2.02026401E+07  1.15673849E+06
1.04950912E-01  2.03431987E+07  1.17307559E+06
1.05269428E-01  2.02011143E+07  1.16271821E+06
1.05587943E-01  1.81299236E+07  1.16208161E+06
1.05906459E-01  1.81704543E+07  1.12656288E+06
1.06224975E-01  1.68341572E+07  1.14087195E+06
1.06543490E-01  1.81476444E+07  1.14307464E+06
1.06862006E-01  1.62527146E+07  1.13464294E+06
1.07180522E-01  1.63872280E+07  1.12787217E+06
1.07499037E-01  1.76588710E+07  1.13213104E+06
1.07817553E-01  1.81104357E+07  1.14327468E+06
1.08136069E-01  1.67927285E+07  1.13043280E+06
1.08454584E-01  1.62084467E+07  1.11088931E+06
1.08773100E-01  1.50800179E+07  1.11278883E+06
1.09091616E-01  1.48341490E+07  1.09518721E+06
1.09410131E-01  1.89896540E+07  1.13472474E+06
1.09728647E-01  1.37906156E+07  1.10554377E+06
1.10047163E-01  1.74905097E+07  1.09989001E+06
1.10365678E-01  1.68366488E+07  1.11511599E+06
1.10684194E-01  1.45954455E+07  1.08481900E+06
1.11002710E-01  1.58918878E+07  1.10322529E+06
1.11321225E-01  1.42926673E+07  1.09887948E+06
1.11639741E-01  1.77851952E+07  1.09344885E+06
1.11958257E-01  1.60460920E+07  1.10410430E+06
1.12276772E-01  1.62656841E+07  1.08590419E+06
1.12595288E-01  1.60241800E+07  1.09784910E+06
1.12913804E-01  1.50797379E+07  1.08235140E+06
1.13232319E-01  1.58115121E+07  1.08595526E+06
1.13550835E-01  1.78973910E+07  1.10348883E+06
1.13869351E-01  1.61086698E+07  1.07675371E+06
1.14187866E-01  1.77459586E+07  1.08751994E+06
1.14506382E-01  1.53584216E+07  1.07966244E+06
1.14824898E-01  1.76095814E+07  1.07799358E+06
1.15143413E-01  1.64587579E+07  1.07298862E+06
1.15461929E-01  1.76978952E+07  1.06643360E+06
1.15780445E-01  1.82093434E+07  1.07888984E+06
1.16098960E-01  1.73159196E+07  1.05675332E+06
1.16417476E-01  1.62581902E+07  1.07571767E+06
1.16735992E-01  1.56790267E+07  1.07051031E+06
1.17054507E-01  1.73708586E+07  1.05016878E+06
1.17373023E-01  1.84024268E+07  1.08079635E+06
1.17691539E-01  1.78033408E+07  1.04366256E+06
1.18010054E-01  1.78181934E+07  1.06951780E+06
1.18328570E-01  1.85433428E+07  1.06080331E+06
1.18647086E-01  1.77635441E+07  1.05459480E+06
1.18965601E-01  1.91506181E+07  1.06425826E+06
1.19284117E-01  1.90185673E+07  1.05277347E+06
1.19602633E-01  1.91839349E+07  1.06488503E+06
1.19921148E-01  1.83157450E+07  1.04173324E+06
1.20239664E-01  2.02163241E+07  1.05947237E+06
1.20558180E-01  1.96378463E+07  1.05578289E+06
1.20876695E-01  1.88828275E+07  1.05014761E+06
1.21195211E-01  1.88214858E+07  1.03552342E+06
1.21513727E-01  1.96012653E+07  1.03850328E+06
1.21832242E-01  1.75176171E+07  1.04847987E+06
1.22150758E-01  1.78301586E+07  1.04493038E+06
1.22469274E-01  1.70281582E+07  1.02255086E+06
1.22787789E-01  1.79279943E+07  1.04066293E+06
1.23106305E-01  1.71679056E+07  1.02723848E+06
1.23424821E-01  1.76687503E+07  1.03151700E+06
1.23743336E-01  2.08107264E+07  1.04360564E+06
1.24061852E-01  2.12364971E+07  1.02016253E+06
1.24380368E-01  2.07958836E+07  1.03839055E+06
1.24698883E-01  1.82256929E+07  1.01702281E+06
1.25017399E-01  1.80785674E+07  1.02615249E+06
1.25335915E-01  2.02630354E+07  1.02823874E+06
1.25654430E-01  1.96576818E+07  1.01501442E+06
1.25972946E-01  1.83208729E+07  1.01633354E+06
1.26291462E-01  1.88104382E+07  1.01564686E+06
1.26609977E-01  1.73665032E+07  1.02188813E+06
1.26928493E-01  1.82626601E+07  1.00216461E+06
1.27247009E-01  1.64452091E+07  1.02430079E+06
1.27565524E-01  1.90978615E+07  1.03713327E+06
1.27884040E-01  1.90990204E+07  1.04994287E+06
1.28202556E-01  1.77273010E+07  1.04797342E+06
1.28521071E-01  1.77183972E+07  1.04842805E+06
1.28839587E-01  1.73714959E+07  1.04559569E+06
1.29158103E-01  1.77605020E+07  1.06024109E+06
1.29476618E-01  1.82066974E+07  1.03650091E+06
1.29795134E-01  1.76975960E+07  1.04469031E+06
1.30113650E-01  1.99152843E+07  1.05717993E+06
1.30432165E-01  1.98603065E+07  1.07566695E+06
1.30750681E-01  1.74041368E+07  1.07248579E+06
1.31069197E-01  1.78212546E+07  1.04171860E+06
1.31387712E-01  1.53626417E+07  1.06510298E+06
1.31706228E-01  1.72246698E+07  1.05402111E+06
1.32024744E-01  1.71783738E+07  1.06753158E+06
1.32343259E-01  1.81405464E+07  1.06031228E+06
1.32661775E-01  1.77437471E+07  1.05241386E+06
1.32980291E-01  1.62016577E+07  1.06969556E+06
1.33298806E-01  1.46180140E+07  1.04970558E+06
1.33617322E-01  1.59936976E+07  1.06548812E+06
1.33935838E-01  1.49204156E+07  1.05550768E+06
1.34254353E-01  1.45849096E+07  1.05160845E+06
1.34572869E-01  1.52443426E+07  1.07073487E+06
1.34891385E-01  1.73951172E+07  1.07396516E+06
1.35209900E-01  1.49832734E+07  1.05372211E+06
1.35528416E-01  1.69733590E+07  1.06269057E+06
1.35846931E-01  1.44362390E+07  1.06504998E+06
1.36165447E-01  1.40019267E+07  1.06754344E+06
1.36483963E-01  1.56915857E+07  1.05941942E+06
1.36802478E-01  1.51675110E+07  1.06178769E+06
1.37120994E-01  1.47667957E+07  1.06145812E+06
1.37439510E-01  1.24380945E+07  1.06954375E+06
1.37758025E-01  1.56307413E+07  1.07415909E+06
1.38076541E-01  1.40263205E+07  1.04244259E+06
1.38395057E-01  1.35972809E+07  1.06658300E+06
1.38713572E-01  1.45025251E+07  1.06289180E+06
1.39032088E-01  1.45602358E+07  1.07664627E+06
1.39350604E-01  1.31899795E+07  1.04616436E+06
1.39669119E-01  1.28577280E+07  1.02304070E+06
1.39987635E-01  1.24087322E+07  1.02653864E+06
1.40306151E-01  1.32484483E+07  1.01527488E+06
1.40624666E-01  1.14872159E+07  1.01419213E+06
1.40943182E-01  1.19959600E+07  9.96602222E+05
1.41261698E-01  1.18678204E+07  9.99154485E+05
1.41580213E-01  1.18639334E+07  1.01238426E+06
1.41898729E-01  1.27439436E+07  9.94482227E+05
1.42217245E-01  1.20775574E+07  9.99228659E+05
1.42535760E-01  1.21280639E+07  9.87139003E+05
1.42854276E-01  1.32991383E+07  9.91249677E+05
1.43172792E-01  1.10625800E+07  9.84850353E+05
1.43491307E-01  1.22523408E+07  9.71531090E+05
1.43809823E-01  1.04100855E+07  9.78023174E+05
1.44128339E-01  1.14915760E+07  9.73856355E+05
1.44446854E-01  1.05782103E+07  9.65689679E+05
1.44765370E-01  1.08522876E+07  9.75972523E+05
1.45083886E-01  1.27528329E+07  9.60776564E+05
1.45402401E-01  1.06089101E+07  9.67711291E+05
1.45720917E-01  1.15182102E+07  9.57968992E+05
1.46039433E-01  1.11836314E+07  9.62243667E+05
1.46357948E-01  1.03964546E+07  9.49637200E+05
1.46676464E-01  1.02494160E+07  9.41407733E+05
1.46994980E-01  9.72358853E+06  9.54418445E+05
1.47313495E-01  9.36054061E+06  9.34262883E+05
1.47632011E-01  9.71514341E+06  9.47760425E+05
1.47950527E-01  1.14177091E+07  9.41782481E+05
1.48269042E-01  9.85311881E+06  9.34573282E+05
1.48587558E-01  8.96286728E+06  9.32658729E+05
1.48906074E-01  9.28765870E+06  9.30026378E+05
1.49224589E-01  1.06341247E+07  9.50024576E+05
1.49543105E-01  8.89182503E+06  9.26075777E+05
1.49861621E-01  9.10429990E+06  9.19510555E+05
1.50180136E-01  8.56604859E+06  9.32467081E+05
1.50498652E-01  8.63700873E+06  9.12411679E+05
1.50817168E-01  9.41293022E+06  9.34652621E+05
1.51135683E-01  9.02744893E+06  9.11609249E+05
1.51454199E-01  9.62950451E+06  9.26345912E+05
1.51772715E-01  8.85551927E+06  9.20797215E+05
1.52091230E-01  9.30982651E+06  9.10378501E+05
1.52409746E-01  8.43862836E+06  9.19355617E+05
1.52728262E-01  1.03752332E+07  9.09629985E+05
1.53046777E-01  9.54887764E+06  9.16406513E+05
1.53365293E-01  7.55495329E+06  9.00206383E+05
1.53683809E-01  9.36260722E+06  9.05464953E+05
1.54002324E-01  8.56222439E+06  9.09854562E+05
1.54320840E-01  8.88058420E+06  9.03002114E+05
1.54639356E-01  5.74290538E+06  9.01575883E+05
1.54957871E-01  7.34742767E+06  8.90991165E+05
1.55276387E-01  6.03412401E+06  8.89244233E+05
1.55594903E-01  8.28581971E+06  9.04577112E+05
1.55913418E-01  9.15325160E+06  8.95862682E+05
1.56231934E-01  7.75635632E+06  8.88117352E+05
1.56550450E-01  8.46387195E+06  8.95167926E+05
1.56868965E-01  7.53397330E+06  8.81118945E+05
1.57187481E-01  8.33473760E+06  9.02435084E+05
1.57505997E-01  7.54344689E+06  8.78282838E+05
1.57824512E-01  7.16755990E+06  8.87910178E+05
1.58143028E-01  8.23456964E+06  8.81207361E+05
1.58461544E-01  7.60656551E+06  8.90961279E+05
1.58780059E-01  1.00161833E+07  8.96543481E+05
1.59098575E-01  9.92721752E+06  8.75648003E+05
1.59417091E-01  9.19041683E+06  8.92665903E+05
1.59735606E-01  7.89650456E+06  8.70561538E+05
1.60054122E-01  7.84071083E+06  8.82700984E+05
1.60372638E-01  9.27755740E+06  8.71442429E+05
1.60691153E-01  8.23197188E+06  8.76025388E+05
1.61009669E-01  9.43484212E+06  8.85802573E+05
1.61328185E-01  6.59163635E+06  8.64211289E+05
1.61646700E-01  7.20990133E+06  8.72205357E+05
1.61965216E-01  7.91462606E+06  8.67308170E+05
1.62283732E-01  8.46775409E+06  8.69462973E+05
1.62602247E-01  6.45115494E+06  8.72615651E+05
1.62920763E-01  7.45733962E+06  8.61401997E+05
1.63239279E-01  9.08860233E+06  8.67417549E+05
1.63557794E-01  8.33797272E+06  8.62479148E+05
1.63876310E-01  6.64968501E+06  8.61218550E+05
1.64194826E-01  6.81005032E+06  8.66997072E+05
1.64513341E-01  7.32342986E+06  8.51426327E+05
1.64831857E-01  7.24541521E+06  8.63555231E+05
1.65150373E-01  6.74629434E+06  8.53056669E+05
1.65468888E-01  8.22300529E+06  8.50689804E+05
1.65787404E-01  7.66075133E+06  8.59157955E+05
1.66105920E-01  7.66673872E+06  8.46910442E+05
1.66424435E-01  7.34003518E+06  8.65659320E+05
1.66742951E-01  6.84780946E+06  8.42954295E+05
1.67061467E-01  6.11171374E+06  8.53614064E+05
1.67379982E-01  8.42959901E+06  8.41614178E+05
1.67698498E-01  6.36486419E+06  8.42915507E+05
1.68017014E-01  6.10413777E+06  8.50180872E+05
1.68335529E-01  8.13658416E+06  8.39714950E+05
1.68654045E-01  7.07903354E+06  8.44809955E+05
1.68972561E-01  6.71888757E+06  8.41262617E+05
1.69291076E-01  7.93581367E+06  8.49459426E+05
1.69609592E-01  8.37078262E+06  8.55413107E+05
1.69928108E-01  6.60447060E+06  8.28090184E+05
1.70246623E-01  6.61510786E+06  8.43542446E+05
1.70565139E-01  6.75765588E+06  8.35168932E+05
1.70883655E-01  6.90664516E+06  8.39234227E+05
1.71202170E-01  7.71466192E+06  8.51051399E+05
1.71520686E-01  6.20059259E+06  8.24016781E+05
1.71839202E-01  7.04883587E+06  8.32922084E+05
1.72157717E-01  5.75029787E+06  8.28833915E+05
1.72476233E-01  5.59145355E+06  8.23656578E+05
1.72794749E-01  7.24461850E+06  8.34879696E+05
1.73113264E-01  7.00522937E+06  8.30930960E+05
1.73431780E-01  7.34605637E+06  8.30069640E+05
1.73750296E-01  6.21995501E+06  8.22915273E+05
1.74068811E-01  5.83063988E+06  8.21192083E+05
1.74387327E-01  6.30075573E+06  8.24206435E+05
